reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
16bc4ff0-c19a-4648-b823-f00ebed4a941,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"sering terjadi bug dan lambat, sinyal bagus tapi aplikasi nya patah patah saat di gunakan,update rutin tapi tidak ngaruh ke pemeliharaan akun,dan sering error saat mau cek transaksi mau pun saat kirim uang dengan nomor handphone",3,5,2.123.2,2026-05-07 16:46:29,"Hi Kak, mohon maaf atas kendala saat mengakses aplikasi DANA. Saat ini DANA tidak mengalami gangguan. Silakan coba: 1. Clear cache aplikasi 2. Restart perangkat 3. Pastikan jaringan stabil Jika masih terkendala, kirimkan DM ke IG @dana.id atau X @danawallet berisi: merek HP, versi OS, versi aplikasi DANA, serta video kendala. Terima kasih. -UH-",2026-05-07 17:14:09,2.123.2
cf942823-a2ca-40b4-8a3e-8a4cbc464431,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"pengaturan terbaru, agak menyusahkan, seperti memaksa customer untuk deposit 2x dan dikenakan admin top up 2x. dulu bagus. sekarang kinerja maulai turun. untuk aset investasi rasa gantung. skrg banyak gk nyamannya. terutama fitur baru, Bi Fast. jika nomor itu sdh digunakan direkening pada bank. saat tranfer malah akan error karena sdh terdaftar di rekening bukan dana. karena memaksakan fitur baru tapi tidak matang, hasil nya adalah jelek.",2,6,2.123.1,2026-05-03 00:49:43,"Hi Kak, maaf buat kamu kecewa. DANA senantiasa berinovasi & memberikan pelayanan terbaik untuk para pengguna setia nya. Jika saat ini ada pertanyaan atau keluhan terkait akun DANA, untuk penanganan cepat bisa hubungi DM/Inbox sosial media resmi DANA yg bercentang biru/emas dengan menginformasikan detail kendalanya. Thanks -FS-",2026-05-03 01:05:21,2.123.1
85a12e9c-0a19-4228-b996-a1cabffc7efa,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"tolong perbaiki pemotongan saldo otomatis tanpa pesetujuan saya. pembayaran item google play, saldo saya terpotong, dan sudah di refund tapi di tolak, kenapa pihak dana tidak bertanggung jawab atas saldo dana pemilik, saya biasanya melakukan pembayaran harus memasukan pin tapi ini tidak, malah terpotong otomatis, dan tidak ketahuan, padahal saya pun sudah mengaktifkan otentikasi biar saat melalukan pembayaran harus memasukan pin, tapi ini masih jebol/terpotong otomatis, tolong refund saldo saya.",1,1,2.125.3,2026-05-17 18:22:13,"Hi Kak, kami memahami perasaan Kakak mengenai pemotongan otomatis oleh Google. Salah satu penyebab kemungkinan karena Kakak pernah hubungkan DANA ke apk lain dan melakukan pembelian product langganan. Terkait pengajuan refund, proses ini sepenuhnya berada di bawah kebijakan pihak Google. Mohon kesabarannya menunggu proses refund selesai. Tks -UH-",2026-05-17 19:54:39,2.125.3
4bb89160-664f-4550-bbae-cd26de32b319,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasi DANA menurut saya sangat membantu dalam kehidupan sehari-hari. Tampilannya sederhana dan mudah dipahami, bahkan untuk pengguna baru. Proses transaksi seperti transfer, pembayaran tagihan, dan pembelian pulsa bisa dilakukan dengan cepat tanpa ribet. Keunggulan lain dari DANA adalah banyaknya promo dan cashback yang menarik, sehingga pengguna bisa lebih hemat. Selain itu, keamanan akun juga terasa terjamin dengan adanya fitur PIN dan verifikasi tambahan.",5,7,2.123.1,2026-05-02 16:46:07,,,2.123.1
6ab8c7e3-c17b-45d5-b9a2-e554a6869e29,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"apknya bagus, tapi kenapa kok tiba tiba dana fiz yang dinonaktifkan, tiba"" aktif kembali, padahal sudah verif wajah. Saya sudah mengajukan pemberitahuan di costumer service, tapi tidak dapat tanggapan yang berguna untuk mengatasinya. Tolong ini kenapa?",3,0,2.125.3,2026-05-18 13:01:25,,,2.125.3
5a8015c3-ddff-40eb-8b6c-4ebcd1dcc5fe,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Sangat Buruk. Fitur Dana instan Yang seharusnya ada Bagi Akun yang sudah premium. Ini malah tidak ada, & ketika di hubungi lewat DIANA & EMAIL, malah respon yang diluar dari masalah. GAJELAS. OEE DEVELOPER TOLONG PERBAI KERUSAKAN INI, sangat Tidak nyaman.",1,7,2.123.2,2026-05-05 18:21:32,"Hi Kak, kami paham apa yg Kakak rasakan terkait fitur DANA Instan saat ini tersedia terbatas dan dibuka secara bertahap. Kalau Kakak tertarik, kami sarankan Kakak untuk terus meningkatkan transaksi menggunakan DANA agar kesempatan mendapatkan fitur ini semakin besar. Thanks -NA-",2026-05-05 19:01:22,2.123.2
be7887b3-c391-417b-a03a-53c4cf4a062d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"maksudnya gimana saya ga merasa berlangganan di dalam aplikasi lain kok tiba-tiba berlangganan pas saya mau transaksi sama temen tiba-tiba saldo habis gara gara itu gimana tuh masa otomatis berlangganan aneh, ya emang terhubung ke google play store tapi kok gitu bayar otomatis di tagih otomatis wah parah emang ni aplikasi ga aman sama sekali gue aja bahkan ga ngerasa berlangganan di aplikasi lain, Dana Parahhhhhhhh 🙁",1,1,2.125.2,2026-05-19 03:24:41,"Hi kak, Kami paham kekecewaanmu. Transaksi tsb kemungkinan karena langganan apk/uji coba gratis yg otomatis memotong saldo ketika sudah berakhir. Saat pertama kali akun DANA dihubungkan, ada verifikasi sbg persetujuan awal. Mhn cek akun terhubung diapk DANA utk membatalkan langganan aktif. Utk info lebih lanjut, silakan hub merchant terkait.Tks-OK-",2026-05-19 03:45:38,2.125.2
decc888b-919c-47f6-9208-fa0881a4f115,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Tolong aplikasi DANA dibersihkan dari fitur tidak penting! Game pihak ketiga, DANA Plus, investasi emas, dan lain-lain itu tidak perlu, cuma bikin aplikasi berat dan sering error. Kadang mau transaksi malah salah tekan ke fitur poin atau investasi yang tidak jelas. Kembalikan fungsi DANA sebagai dompet digital yang simpel dan ringan, jangan dipaksa pakai fitur pihak ketiga yang bikin ribet!...",1,17,2.125.2,2026-05-13 01:55:04,"Hi Kak, DANA tdk sdg gangguan ya. Mohon maaf atas kendala pada DANA. Silakan coba: 1. Clear cache apk DANA 2. Update ke versi terbaru 3. Restart perangkat Jika masih terjadi, hub kami via DM X/Twitter @danawallet atau DM Instagram @dana.id dengan info: jenis & merek perangkat, versi Android/iOS, versi apk DANA, serta video kendala. Thx-NA-",2026-05-13 11:19:58,2.125.2
a1a79a57-7117-49f1-bbd5-602defae7c60,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"sering terjadi transaksi tanpa sepengetahuan saya,tiba-tiba mendapatkan notif transaksi telah selesai dan saat saya cek di play store pada anggaran tidak ada riwayat dan saat di ajukan refund malah tidak bisa,cukup meresahkan dan mengecewakan karena pada saat itu uang yang harusnya tinggal 90k untuk membeli makan malah tinggal 6k, itupun klo saya di lingkungan keluarga tidak akan mempermasalahkannya, masalahnya saat itu saya sedang sedang jauh dengan keluarga dan tak ada orang yang peduli!!",1,8,2.123.2,2026-05-03 19:48:19,"Hi Kak, kami paham apa yg kamu rasakan terkait saldo yg terpotong otomatis. Kami infokan bahwa hal tersebut biasanya terjadi karena sebelumnya pernah mengaktifkan langganan/uji coba gratis shg setelah uji coba habis maka saldo terpotong otomatis. Pastikan tdk memiliki langganan pada apk DANA, silakan cek di menu ""Me"" pada akun terhubung. Thx -NA-",2026-05-03 20:37:36,2.123.2
905c08ac-f47b-4441-80bc-6cabf6c80e86,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"apk bagus, cuman masih ada celah, untuk di retas/bajak.. trutama untuk akun dana yg sudah pernah login di hp yg sama. . gaperlu scan wajah. asal tau pin/sandi bisa langsung masuk.. seharus nya setiap logout akun di hp yg sama pas masuk lagi harus scan wajah lagi/otp no tlpn.. ( login akun pertamakali harus scan wajah dan sandi. setelah logout trus login kmbali di hp yg sama kenapa tidah ada chan wajah/kode otp no tlp. masukan pin saja sudah bisa login.. )",5,6,2.123.2,2026-05-04 05:52:12,,,2.123.2
